title,registration_number,registration_date,language,periodicity,publisher,owner,publication_state,publication_district
AAM JANMANAS,MPHIN/2023/88332,2024-08-02,HINDI,Monthly,MANSVI SAHU,MANSVI SAHU,Madhya Pradesh,Bhopal
AAM JANMANAS,MPHIN/26/A2645,2026-04-17,HINDI,Quarterly,MANSVI SAHU,MANSVI SAHU,Madhya Pradesh,Bhopal
AAM JANTA KI BHUMIKA,MPHIN/2023/90284,2024-12-09,HINDI,Monthly,ARJUN SURYAVANSHI,ARJUN SURYAVANSHI,Madhya Pradesh,Ujjain
AAM MAT,RAJHIN/2013/47799,2013-02-01,Hindi,Fortnightly,VIJAY SHARMA,VIJAY SHARMA,Rajasthan,Jaipur
AAM NAAGRIK VICHAR,CHHHIN/2023/87493,2024-06-12,HINDI,Monthly,MMK AZAD,MMK AZAD,Chhattisgarh,Durg
AAM NAGRIK,MPHIN/2023/89636,2024-10-15,HINDI,Monthly,NIKKI SHAKYA,NIKKI SHAKYA,Madhya Pradesh,Gwalior
AAM PARIVARTAN,MPHIN/2014/57539,2014-10-01,Hindi,Daily,VIMAL KUMAR JAIN,AAM PARIVARTAN,Madhya Pradesh,Neemuch
AAM RAI,UTTHIN/2011/37254,2011-05-13,Hindi,Weekly,RAJENDRA SINGH NEGI,RAJENDRA SINGH NEGI,Uttarakhand,Dehradun
AAM RAI,UTTHIN/2014/59669,2015-01-20,Hindi,Weekly,RAJENDRA SINGH NEGI,RAJENDRA SINGH NEGI,Uttarakhand,Haridwar
AAM SABHA,58819,1994-12-14,Hindi,Daily,ARVIND SINGH,ARVIND SINGH,Madhya Pradesh,Bhopal
AAM SABHA,MPHIN/2019/77487,2019-06-17,Hindi,Daily,ARVIND SINGH,ARVIND SINGH,Madhya Pradesh,Gwalior
AAM SABHA,MPHIN/25/A3970,2025-11-17,Hindi,Daily,Arvind Singh,Arvind Singh,Madhya Pradesh,Hoshangabad
AAM SABHA,CTHIN/26/A5633,2026-07-01,Hindi,Daily,Arvind Singh,Arvind Singh,Chhattisgarh,Raipur
AAM SABHA,MPHIN/26/A5028,2026-06-12,Hindi,Daily,Arvind Singh,Arvind Singh,Madhya Pradesh,Ujjain
AAM SANGHARSH TIMES,67575,1998-01-22,Marathi,Daily,SAHURAJ AMBAJI SALUNKE,SALUNKE SHAHURAJ AMBAJI,Maharashtra,Dharashiv
AAM SANGHARSHSA TIMES,66356,1994-02-06,Marathi,Weekly,SALUNKE SHAHURAJ AMBAJIROA,SALUNKE SHAHURAJ AMBAJIROA,Maharashtra,Dharashiv
AAMA GARJAN,ORORI/26/A1769,2026-03-20,Oriya,Fortnightly,DINABANDHU MALLIK,DINABANDHU MALLIK,Odisha,Khordha
AAMA ODISHA,ORORI/25/A0663,2025-05-29,Oriya,Weekly,SOUMYA RANJAN PATNAIK,SOUMYA RANJAN PATNAIK,Odisha,Khordha
AAMA PANCHABATEE,ODIODI/2008/25381,2008-09-02,Oriya,Monthly,HEMANTA NAYAK,HEMANTA NAYAK,Odisha,Khordha
AAMACHI BATMI,MAHMAR/2021/80638,2022-03-29,Marathi,Weekly,SAPNA GULABCHANDRA YADAV,SAPNA GULABCHANDRA YADAV,Maharashtra,Thane
AAMACHO DANTEVADA,CTHIN/26/A3429,2026-05-11,Hindi,Monthly,SAMANT SAHU,SAMANT SAHU,Chhattisgarh,Raipur
AAMAR KAGAJ,WBBEN/2014/59852,2015-01-29,Bengali,Weekly,DEBASIS CHOWDHURY,DEBASIS CHOWDHURY,West Bengal,Paschim Medinipur
AAMAR KHABAR BIRBHUM,WBBEN/25/A2423,2025-09-08,Bengali,Fortnightly,MUNTAJ RAHAMAN,MUNTAJ RAHAMAN,West Bengal,Birbhum
AAMAR KOLKATA,WBBEN/25/A2070,2025-08-04,Bengali,Monthly,SWAPAN KUMAR MONDAL,SWAPAN KUMAR MONDAL,West Bengal,South 24 Parganas
AAMAR NALBARI,64204,1996-09-30,Assamese,Weekly,SMT.J.SWARGIARY,SMT.J. SWARGIARY,Assam,Nalbari
AAMAR PRAYAS,ORORI/26/A1298,2026-02-19,Oriya,Daily,Jyotirmaya Panda,Jyotirmaya Panda,Odisha,Khordha
AAMCHA ABHIMAN,MAHMAR/2015/65667,2016-01-20,Marathi,Daily,RAJENDRA KUMAR BABURAO HOLKAR,RAJENDRA KUMAR BABURAO HOLKAR,Maharashtra,Beed
AAMCHA DOLA,MAHMAR/2014/57959,2014-10-27,Marathi,Weekly,DILIP JAYRAM SALUNKE,DILIP JAIRAM SALUNKE,Maharashtra,Dhule
AAMCHA MAHA SANDESH,MHMAR/26/A3292,2026-05-08,Marathi,Weekly,GORAKH SHANTWAN KHANDARE,GORAKH SHANTWAN KHANDARE,Maharashtra,Chhatrapati Sambhaji Nagar
AAMCHA SHIVSURYA,MAHMAR/2023/89447,2024-10-14,MARATHI,Weekly,DHANVE SANGRAM SAMBHAJI,DHANVE SANGRAM SAMBHAJI,Maharashtra,Beed
AAMCHEE LOKASHAHI,MAHMAR/2023/87612,2024-06-25,MARATHI,Monthly,SYED SHAKIB SYED JAVED,SYED SHAKIB SYED JAVED,Maharashtra,Yavatmal
AAMCHI MUMBAI,MAHMAR/2011/40211,2011-12-28,Marathi,Daily,ARUN KUMAR SINGH,ARUN KUMAR SINGH,Maharashtra,Thane
AAMCHI RAJNEETI,MAHMAR/2023/87550,2024-06-19,MARATHI,Weekly,LAKHAN MUKESH WAGHELA,LAKHAN MUKESH WAGHELA,Maharashtra,Palghar
AAMCHO CHHATTISGARH,CHHMUL/2023/88534,2024-08-16,MULTILINGUAL,Monthly,SUDHIR AAZAAD TAMBOLI,SUDHIR AAZAAD TAMBOLI,Chhattisgarh,Raipur
AAMDWAR PRERNA,MPHIN/2019/77324,2019-05-10,Hindi,Daily,RAMAKANTA MEENA,RAMAKANTA MEENA,Madhya Pradesh,Bhopal
AAMHI BHARATIYA,MAHMAR/2022/84060,2023-05-01,Marathi,Weekly,DINESH SOMA BODHIRAJ,DINESH SOMA BODHIRAJ,Maharashtra,Mumbai
AAMHI CHIKHLIKAR,MAHMAR/2018/76495,2018-12-06,Marathi,Daily,CHHOTU SUDHAKAR KAMBLE,CHHOTU SUDHAKAR KAMBLE,Maharashtra,Buldhana
AAMHI PARLEKAR,54781,1992-08-10,Marathi,Monthly,D A CHANDEKAR,SANKET PRAKASHAN,Maharashtra,Mumbai
AAMHI SARE BRAHMAN,MAHMAR/2011/36080,2011-03-10,Marathi,Fortnightly,BHALCHANDRA KULKARNI,OEM EKVIRA MEDIA PVT.LTD.,Maharashtra,Pune
AAMHI UDYOJIKA,MAHMAR/2007/18973,2007-04-02,Marathi,Monthly,ABDULRAJAK IBRAHIM MUJAWAR,ABDULRAJAK IBRAHIM MUJAWAR,Maharashtra,Sangli
AAMHI VATAN DAR,MHMAR/26/A0931,2026-02-06,Marathi,Twice a week,Deepak Kashinath Sonawane,Deepak Kashinath Sonawane,Maharashtra,Nashik
AAMI ASOMOR JANAGAN,ASSASS/2014/56968,2014-09-05,Assamese,Daily,SHYAM BABU SINHA,SHYAM KISHORE SINHA,Assam,Kamrup Metropolitan
AAMI ASOMOR JANAGAN,ASSASS/2017/74079,2017-12-06,Assamese,Daily,SHYAM BABU SINHA,SHYAM KISHORE SINHA,Assam,Jorhat
AAMIN,GUJGUJ/2000/03146,2001-03-28,Gujarati,Monthly,PATHAN FIROZKHAN,FORUM FOR SOCIAL JUSTICS,Gujarat,Ahmedabad
AAMIR EXPRESS,67913,1998-03-18,Hindi,Daily,SAYED HAMEED ALI,SYED HAMID ALI,Delhi,New Delhi
AAMJAN KI AWAZ,RAJHIN/2012/43252,2012-06-22,Hindi,Fortnightly,KULDEEP AGRWAL,KULDEEP AGRAWAL,Rajasthan,Chittorgarh
AAMJAN MINDS,DLHIN/26/A3672,2026-05-13,Hindi,Monthly,amiya kumar sabat,AAM JAN MEDIA PRIVATE LIMITED,Delhi,West Delhi
AAMJAN NEWS,UPHIN/2011/38174,2011-07-11,Hindi,Weekly,RAMESH KUMAR,RAMESH KUMAR,Uttar Pradesh,Lalitpur
AAMNA SAMNA,UPURD/2015/60306,2015-02-19,Urdu,Daily,BINTE ZEHRA,BINTE ZAHRA,Uttar Pradesh,Lucknow
AAMNE SAMNE,MAHMAR/2021/81386,2022-04-13,Marathi,Weekly,YASH PRASHANT PALVE,YASH PRASHANT PALVE,Maharashtra,Jalgaon
AAMON DHAN,WBBEN/25/A2650,2025-09-18,Bengali,Bi-Annual,Sanjoy Kumar Sarkar,Sanjoy Kumar Sarkar,West Bengal,Kolkata
AAMRAVAN TIMES,UPHIN/2002/06882,2002-06-24,Hindi,Weekly,ANITA SAINI,ANITA SAINI,Uttar Pradesh,Lucknow
AAMSABHA,MAHMAR/2012/47070,2012-12-18,Marathi,Weekly,PRAVEEN GOPALRAO GATHE,PRAVEEN GOPALRAO GATHE,Maharashtra,Wardha
AAMUKH,MPHIN/2023/84964,2023-06-14,Hindi,Monthly,PREETI SINGH,PREETI  SINGH,Madhya Pradesh,Bhopal
AAMUKH,MPHIN/2023/90631,2025-04-09,Hindi,Quarterly,PREETI SINGH,PREETI SINGH,Madhya Pradesh,Bhopal
AAMUKHAM MALAYALAM,KLMAL/26/A1552,2026-03-16,Malayalam,Monthly,BABU K V,BABU K V,Kerala,Kottayam
AANAND APRADH,UPHIN/2009/31759,2010-04-01,Hindi,Monthly,ADARSH KUMAR SINHA,ADARSH KUMAR SINHA,Uttar Pradesh,Azamgarh
AANAND PUBLIC,UPHIN/2009/32389,2010-05-26,Hindi,Daily,RAJESH VERMA,RAJESH VERMA,Uttar Pradesh,Mahrajganj
AANANDA BANGLA,WBBEN/2012/49533,2013-05-08,Bengali,Daily,MD. FARIDUL ZAMAN,MD. FARIDUL ZAMAN,West Bengal,Purba Bardhaman
AANANDA BRUNDA,32330,1977-03-22,Telugu,Monthly,,,,
AANANDA ILLAM,TNTAM/2021/88046,2024-07-25,TAMIL,Monthly,V.R.MANOGAREN,V.R.MANOGAREN,Tamil Nadu,Chennai
AANANDI DARPAN,UPHIN/2009/30311,2010-01-07,Hindi,Weekly,ABHAY KUMAR SRIVASTAVA,ABHAY KUMAR SRIVASTAVA,Uttar Pradesh,Lucknow
AANANT ANAADI,UPHIN/26/A0189,2026-01-02,Hindi,Quarterly,Sumit Rai,Sumit Rai,Uttar Pradesh,Deoria
AANANT AVINAASHEE,UPHIN/25/A3376,2025-10-21,Hindi,Daily (Monday To Friday),KUSUM YADAV,KUSUM YADAV,Uttar Pradesh,Azamgarh
AANANTHA BAIRAVI,TNTAM/2023/87605,2024-06-20,TAMIL,Monthly,M.SIVA,M.SIVA,Tamil Nadu,Perambalur
AANCHAL KI DAIRY,MPHIN/2009/28486,2012-07-05,Hindi,Weekly,SANJAY JAIN,SANJAY JAIN,Madhya Pradesh,Raisen
AANCHALIK PATRAKAR,MPHIN/2004/12178,2004-03-22,Hindi,Monthly,VIJAYDUTT SRIDHAR,VIJAYDUTT SRIDHAR,Madhya Pradesh,Bhopal
AANCHALIK SACH,UPHIN/2022/86084,2024-01-11,Hindi,Weekly,ANISHA MISHRA,ANISHA MISHRA,Uttar Pradesh,Ballia
AANCHALIK SANDESH,DELHIN/2017/72466,2017-07-11,Hindi,Weekly,PAWAN YADAV,DINESH YADAV,Delhi,New Delhi
AANCHALIK SHABD VARTA,MPHIN/1998/01341,2000-07-10,Hindi,Daily,PRADEEP SAMADHIYA,PRADEEP SAMADHIYA,Madhya Pradesh,Sehore
AANDATA KI SAMRIDHI,CHHHIN/2023/88494,2024-08-27,HINDI,Monthly,ANURAG SHRIVASTAVA,ANURAG SHRIVASTAVA,Chhattisgarh,Raipur
AANDATA KI SAMRIDHI,MPHIN/26/A4238,2026-05-25,Hindi,Monthly,ANURAG SHRIVASTAVA,ANURAG SHRIVASTAVA,Madhya Pradesh,Bhopal
AANDHI,35304,1979-01-01,Hindi,Weekly,MANITA KAUR,MANITA KAUR,Rajasthan,Jhalawar
AANDHI AUR TOOFAN,GUJGUJ/2011/49780,2013-05-21,Gujarati,Daily,Vyas Kirtikumar Amrishbhai,Vyas Kirtikumar Amrishbhai,Gujarat,Ahmedabad
AANDHI AUR TOOFAN,GUJGUJ/2000/02466,2012-01-31,Gujarati,Weekly,KIRTIKUMAR A.VYAS,KIRTIKUMAR A.VYAS,Gujarat,Ahmedabad
AANDHI EXPRESS,MPHIN/2016/69655,2016-12-21,Hindi,Weekly,SACHIN VISHWAKARMA,SACHIN VISHWAKARMA,Madhya Pradesh,Jabalpur
AANDOLAN BHARAT,MAHMAR/2013/50130,2013-06-04,Marathi,Monthly,SUNIL TATYARAO TATE,SUNIL TATYARAO TATE,Maharashtra,Mumbai
AANE WALA SAMAY,MPHIN/26/A4679,2026-06-04,Hindi,Monthly,PRADOSH,PRADOSH,Madhya Pradesh,Jabalpur
AANGANWADI SANDESH,MPHIN/2018/75523,2018-06-15,Hindi,Fortnightly,ASHUTOSH DEVI,ASHUTOSH DEVI,Madhya Pradesh,Bhopal
AANGI NEWS,GUJGUJ/2021/82070,2022-09-07,Gujarati,Fortnightly,NIDHI ARIHANT,NIDHI ARIHANT,Gujarat,Ahmedabad
AANJANYA DARPAN,UTTHIN/2012/43292,2012-06-23,Hindi,Weekly,BAL KRISHAN GOYAL,BAL KRISHAN GOYAL,Uttarakhand,Dehradun
AANKHE,MPHIN/2003/09150,2003-02-27,Hindi,Other,SAWAI SINGH SISODIA,SAWAI SINGH SISODIA,Madhya Pradesh,Bhopal
AANKHEN CRIME PAR,MPHIN/2015/65147,2015-12-08,Hindi,Weekly,VIJAY KUMAR PANDEY,VIJAY KUMAR PANDEY,Madhya Pradesh,Sehore
AANKHEN TIMES,UPBIL/2014/61669,2015-04-30,"English, HINDI",Weekly,HARI BAHADUR SRIVASTAVA,HARI BAHADUR SRIVASTAVA,Uttar Pradesh,Kanpur Nagar
AANKHO DEKHA SACH,MPHIN/2008/27630,2009-09-29,Hindi,Weekly,DIGVIJAY SINGH,DIGVIJAY SINGH,Madhya Pradesh,Bhopal
AANKHODEKHI GUJARAT,GUJGUJ/2011/41351,2013-07-22,Gujarati,Fortnightly,HET GAURANG PANDYA,HET GAURANG PANDYA,Gujarat,Ahmedabad
AANKHON DEKHE APRADH,UPHIN/2010/34301,2010-11-15,Hindi,Weekly,MANOJ PANWAR,MANOJ PANWAR,Uttar Pradesh,Muzaffarnagar
AANKHON KA TAARA,UPHIN/2023/90168,2024-11-14,HINDI,Weekly,ABDULLA,ABDULLA,Uttar Pradesh,Saharanpur
AANKHON KA UJALA,MPHIN/2021/85510,2023-10-12,Hindi,Monthly,VISHAL PAL,VISHAL PAL,Madhya Pradesh,Bhopal
AANKHON KE SAAMNE,UPHIN/2008/25241,2008-08-13,Hindi,Weekly,GIRISH SINGH,GIRISH SINGH,Uttar Pradesh,Lucknow
AANKHON KI KHOJ,UPHIN/2009/28504,2009-07-29,Hindi,Weekly,DEEPAK KUMAR,DEEPAK KUMAR,Uttar Pradesh,Ghaziabad
AANKO AALO,WBBEN/2000/02536,2000-12-18,Bengali,Fortnightly,MANJU RANI MAITI,SMT. MANJURANI MAITI,West Bengal,Purba Medinipur
AANMA NALAM,TNBIL/2017/74142,2017-12-13,"English, Tamil",Monthly,MATHEW JOSEPH,MATHEW JOSEPH,Tamil Nadu,Thiruvallur
AANMAA THEDAL,TNTAM/2016/67949,2016-07-28,Tamil,Monthly,A.B. MUGHAN,AB.MUGHAN,Tamil Nadu,Chennai
AANMEGA SIGARAM,TNTAM/2017/75122,2018-05-09,Tamil,Monthly,G. SASIREKA,G. SASIREKA,Tamil Nadu,Chennai
AANMIGA SANGAMAM,TNTAM/2014/61964,2015-05-19,Tamil,Monthly,C.VIMALESWARAN,C. VIMALESWARAN,Tamil Nadu,Chennai
AANMIGA SUTRULA MALAR,TNTAM/2010/39901,2011-12-08,Tamil,Monthly,GANESAN,GANESAN,Tamil Nadu,Chennai
AANTHAHAPURAM,APTEL/2003/11229,2003-11-17,Telugu,Weekly,KANIGALLA LEELA SIVA NAGADHANA RAJU,KANIGALLA LEELA SIVA NAGADHANA RAJU,Telangana,Medak
AANTHAI REPORTER,TNTAM/2012/45305,2012-09-19,Tamil,Weekly,V. SANKARA SUNDARA KUMAR,V. SANKARASUNDARAKUMAR,Tamil Nadu,Chennai
AANTHOKATHA,WBBEN/2020/86933,2024-04-18,Bengali,Fortnightly,MANJIT BASU,MANJIT BASU,West Bengal,Purba Bardhaman
AANTRARASHTRIYA AAWAAJ,MHMAR/25/A2434,2025-09-08,Marathi,Weekly,Sureshkumar Jawahar Chaurasiya,Sureshkumar Jawahar Chaurasiya,Maharashtra,Mumbai
AANYA EXPRESS,UPHIN/2020/79313,2021-02-04,Hindi,Weekly,SHIRISH KUMAR SINGH,SHIRISH KUMAR SINGH,Uttar Pradesh,Varanasi
AAO FARZ NIBHAYEN,UPHIN/2023/89632,2024-10-15,HINDI,Monthly,RAJENDRA SACHDEVA,HUMAN DUTIES FOUNDATION,Uttar Pradesh,Agra
AAO SAMBHALAIN BHARAT,UPHIN/2023/86705,2024-03-28,Hindi,Weekly,RAJ KUMAR,RAJ KUMAR,Uttar Pradesh,Mainpuri
AAO SAMBHALAIN BHARAT,UPHIN/26/A4167,2026-05-25,Hindi,Daily,RAJ KUMAR,RAJ KUMAR,Uttar Pradesh,Mainpuri
AAP ABHI TAK,UPHIN/2011/41550,2012-04-12,Hindi,Daily,IMRAN KHAN,IMRAN KHAN,Uttar Pradesh,Ghaziabad
AAP ANE AME,GUJGUJ/2007/21438,2007-10-22,Gujarati,Daily,BIPIN JAGDISHCHANDRA UPADHYAY,BIPIN JAGDISHCHANDRA UPADHYAY,Gujarat,Bharuch
AAP ANE AME,GUJGUJ/2009/32381,2010-05-20,GUJARATI,Daily,BIPIN JAGDISHCHANDRA UPADHYAY,BIPIN JAGDISHCHANDRA UPADHYAY,Gujarat,Ahmedabad
AAP AUR HUM LOG,UPHIN/2014/57855,2014-10-20,Hindi,Weekly,VIMAL KUMAR PANDEY,VIMAL KUMAR PANDEY,Uttar Pradesh,Lucknow
AAP BEETI JAG BEETI,59801,1993-07-27,Hindi,Weekly,MANJU TIWARI,MANJU TIWARI,Uttar Pradesh,Lucknow
AAP BHALE TO JAG BHALA,UPHIN/2013/54101,2014-01-21,Hindi,Weekly,KHALID HUSSAIN,KHALID HUSSAIN,Uttar Pradesh,Bijnor
AAP JAANE,MPHIN/2003/12262,2004-04-19,Hindi,Monthly,BRIJ BHUSHAN SHARMA,BRIJ BHUSHAN SHARMA,Madhya Pradesh,Bhopal
AAP JANE,65313,1997-03-03,Hindi,Weekly,BRIJBHUSHAN SHARMA,BRIJBHUSHAN SHARMA,Madhya Pradesh,Bhopal
AAP KA AGENDA,MPHIN/2011/38985,2011-09-23,Hindi,Daily,MOHAMMAD ARBAZ,MOHAMMED ARBAZ,Madhya Pradesh,Bhopal
AAP KA FAISLA,TELURD/2019/78344,2019-12-30,Urdu,Weekly,MIRZA AKBAR BAIG,MIRZA AKBAR BAIG,Telangana,Nizamabad
AAP KA HIND,UPHIN/2017/71388,2017-04-28,Hindi,Weekly,MOHD. NASEEM,MOHD NASEEM,Uttar Pradesh,Muzaffarnagar
AAP KA SAAMNA,HPHIN/2010/41180,2012-03-16,Hindi,Weekly,SANTOSH KUMR SHUSHTA,SANTOSH KUMAR SHUSHTA,Himachal Pradesh,Shimla
AAP KA SANDESH,HARHIN/2004/12009,2004-03-01,Hindi,Weekly,HAWA SINGH CHAHAL,HAWA SINGH CHAHAL,Haryana,Hisar
AAP KA SANKALP,DELHIN/2016/70548,2017-03-02,Hindi,Daily,AMIT KUMAR,AMIT KUMAR,Delhi,New Delhi
AAP KA SATHI,29009,1988-09-09,Urdu,Fortnightly,MOHD.. NASEEM,MOHD NASEM,Delhi,New Delhi
AAP KA UJALA,UPHIN/2021/84189,2023-05-16,Hindi,Weekly,MOHAMMAD HAROON,MOHAMMAD HAROON,Uttar Pradesh,Moradabad
AAP KE DWAR,DELHIN/2004/13020,2004-08-17,Hindi,Weekly,JAGDISH BHATIA,JAGDISH BHATIA,Delhi,New Delhi
AAP KE PUSHP,43174,1984-09-22,Hindi,Fortnightly,ANJU GOYAL,ANJU GOYAL,Uttar Pradesh,Hapur
AAP KE SATH,GUJGUJ/2014/57880,2014-10-22,Gujarati,Weekly,RAMESH JIVARAJBHAI VORA,RAMESH JIVARAJBHAI VORA,Gujarat,Ahmedabad
AAP KE SHABD,DELBIL/2012/44915,2012-08-29,"English, HINDI",Monthly,RAKESH KUMAR SHRIVASTAVA,RAKESH KUMAR SHRIVASTAV,Delhi,New Delhi
AAP KI AAWAAZ,JHURD/26/A3717,2026-05-14,Urdu,Daily,BABY AFSANA,BABY AFSANA,Jharkhand,Ranchi
AAP KI ADALAT,39712,2009-12-09,Hindi,Fortnightly,HEMLATA GUPTA,HEMLATA GUPTA,Rajasthan,Jaipur
AAP KI AMANAT,UPHIN/2015/66150,2016-02-15,Hindi,Weekly,MUBEEN BEG,MUBEEN BEG,Uttar Pradesh,Kanpur Nagar
AAP KI BAAT SACH KE SATH,MPHIN/25/A3453,2025-10-27,Hindi,Quarterly,mahak kushwah,mahak kushwah,Madhya Pradesh,Bhopal
AAP KI BHASHA SAMACHAR,MPHIN/2014/54069,2014-01-20,Hindi,Weekly,SMT. JYOTI CHHATWANI,JYOTI CHHATWANI,Madhya Pradesh,Bhopal
AAP KI INDIA,DELHIN/2016/66504,2016-03-26,Hindi,Weekly,SAPNA GROVER,SAPNA GROVER,Delhi,New Delhi
AAP KI KRANTI,UTTHIN/2013/52629,2013-10-21,Hindi,Weekly,KRISHNA VAILWAL,KRISHNA VAILWAL,Uttarakhand,Dehradun
AAP KI PUKAR,MAHHIN/2015/62838,2015-06-23,Hindi,Weekly,RAZA AHMED MD. SALAUDDIN SHAIKH,RAZA AHMED MD. SALAUDDIN SHAIKH,Maharashtra,Mumbai
AAP KI PUKAR,MAHURD/2011/42919,2012-06-13,Urdu,Weekly,RAZA AHMED MD. SALAUDDIN SHAIKH,RAZA AHMED MD. SALAUDDIN SHAIKH,Maharashtra,Mumbai
AAP KI REPORT,UPHIN/2010/31229,2010-03-09,Hindi,Weekly,HARISHCHANDRA URF PREM BABA,HARISHCHANDRA URF PREM BABA,Uttar Pradesh,Gautam Buddha Nagar
AAP KI SOCH,71277,1999-07-30,Hindi,Weekly,SURESH SINGH CHOHAN,SURESH SINGH CHAUHAN,Madhya Pradesh,Gwalior
AAP KI TALASH,MAHHIN/2014/59677,2015-01-20,Hindi,Daily,RAJENDRA DINKAR CHAUDHARY,RAJENDRA DINKAR CHAUDHARY,Maharashtra,Jalgaon
AAP PEHREDAR SAMACHAR,DELHIN/2016/71285,2017-05-01,Hindi,Monthly,SUDARSHAN KUMAR SHARMA,SUDARSHAN KUMAR SHARMA,Delhi,New Delhi
AAP SE AWAZ,UPHIN/2016/68450,2016-08-27,Hindi,Weekly,RAJESH KUMAR,RAJESH KUMAR,Uttar Pradesh,Gautam Buddha Nagar
AAP SE MULAKAT,KARHIN/2015/64812,2015-11-17,Hindi,Weekly,SHAKIL SAIFODDIN MARIHAL,SHAKIL SAIFODDIN MARIHAL,Karnataka,Belgaum
AAP TAK,49006,2005-12-12,Hindi,Daily,RANDHIR KUMAR SHARMA,RANDHIR KUMAR SHARMA,Bihar,Samastipur
AAP TAK PRATIDIN,UPURD/2014/56053,2014-06-26,Urdu,Weekly,JYOTI YADAV,JYOTI YADAV,Uttar Pradesh,Lucknow
AAP TAK PRATIDIN,UPHIN/2010/31859,2010-04-08,Hindi,Weekly,JYOTI YADAV,JYOTI YADAV,Uttar Pradesh,Lucknow
AAP TAK PRATIDIN,UPHIN/2009/30451,2010-01-15,Hindi,Daily,JYOTI YADAV,JYOTI YADAV,Uttar Pradesh,Lucknow
AAP TAK PRATIDIN,UPURD/2013/54149,2014-01-23,Urdu,Daily,JYOTI YADAV,JYOTI YADAV,Uttar Pradesh,Lucknow
AAPAKA MUMBAI MITRA,MAHHIN/2007/21702,2007-11-05,Hindi,Daily,ABHIJEET ASHOK RANE,VAST MEDIA NETWORK PVT. LTD.,Maharashtra,Mumbai
AAPAKA TEESTA HIMALAYA,WBHIN/2010/34186,2010-11-09,Hindi,Monthly,RANJU SINGH,RANJU SINGH,West Bengal,Darjiling
AAPAL DHAIRYA TIMES,MAHMAR/2011/48646,2013-03-18,Marathi,Weekly,SACHIN SAMPAT MORE,SACHIN SAMPATRAO MORE,Maharashtra,Satara
AAPAL KARJAT,MAHMAR/2013/54610,2014-02-12,Marathi,Weekly,VIDYANAND GOPINATH OVHAL,VIDYANAND GOPINATH OVHAL,Maharashtra,Raigad
AAPAL MALKAPUR,MAHMAR/2023/88100,2024-07-29,MARATHI,Weekly,NILESH BALU CHOPADE,NILESH BALU CHOPADE,Maharashtra,Buldhana
AAPALA JANTECHA AARSA,MHMAR/26/A5154,2026-06-15,Marathi,Weekly,Satish Pralhad Mandale,Satish Pralhad Mandale,Maharashtra,Washim
AAPALA MATDAR SANGH,MAHMAR/2011/43052,2012-06-20,Marathi,Daily,PRABHAKAR SHUDHAKAR JADHAV,JADHAV PRABHAKAR SUDHAKAR,Maharashtra,Jalgaon
AAPALA MUMBAI MITRA,MAHMAR/2007/21703,2007-11-05,Marathi,Daily,ABHIJEET ASHOK RANE,VAST MEDIA NETWORK PVT. LTD.,Maharashtra,Mumbai
AAPALA NAVRAJYA,MAHMAR/2009/32008,2010-04-22,Marathi,Daily,SUNIL BHAGWAN PATIL,SUNIL BHAGWAN PATIL,Maharashtra,Dhule
AAPALA SANGHARSH NEWS,MAHMAR/2023/89310,2024-10-01,MARATHI,Half Yearly,BHAGYASHRI GANESH JADHAO,BHAGYASHRI GANESH JADHAO,Maharashtra,Mumbai
AAPALA SHAHARANAMA,MAHMAR/2016/68474,2016-09-02,Marathi,Weekly,DNYANESHWAR BABU MUNDE,DNYANESHWAR BABU MUNDE,Maharashtra,Thane
AAPALI JANTA NEWS,MAHMAR/2020/90700,2025-05-10,MARATHI,Weekly,RAKESH RAJU WAGHMARE,RAKESH RAJU WAGHMARE,Maharashtra,Pune
AAPALI MATRUBHAKTI,MAHBIL/2016/76131,2018-09-26,"Marathi, Hindi",Weekly,GAJANAN RAMRAO DESHMUKH,GAJANAN RAMRAO DESHMUKH,Maharashtra,Buldhana
AAPAN MAATI-AAPAN BAAT,UPHIN/2008/28166,2009-07-02,Hindi,Weekly,DR. ASHOK KUMAR SINGH,ASHOK KUMAR SINGH,Uttar Pradesh,Varanasi
AAPAN MAHARAJGANJ,DLHIN/26/A5272,2026-06-17,Hindi,Fortnightly,Tabrez Khan,Tabrez Khan,Delhi,New Delhi
AAPAN SAGLE BRAMHAN,MAHMAR/2016/66908,2016-05-09,Marathi,Fortnightly,BHALCHANDRA KULKARNI,BHALCHANDRA KULKARNI,Maharashtra,Pune
AAPANO BIKANO CHOKHO SAHAR,RJBIL/26/A0919,2026-02-06,"Hindi, English",Fortnightly,Mukesh Pooniya,Mukesh Pooniya,Rajasthan,Bikaner
AAPANU GUJARAT,GUJGUJ/2023/86947,2024-04-18,Gujarati,Weekly,AANAND PRAHLADBHAI VADECHA,CHHATRAPALSINH JAGATSINH JADEJA,Gujarat,Rajkot
AAPAS KI BAAT,MPHIN/2017/77239,2019-05-02,Hindi,Weekly,SANTOSH KUMAR,SANTOSH KUMAR,Madhya Pradesh,Bhopal
AAPDU JUNAGADH,GUJGUJ/2023/87336,2024-05-17,Gujarati,Weekly,DHULESIA PARTH NILESHKUMAR,VISHAL NARANBHAI SOLANKI,Gujarat,Junagadh
